Iteration 0: alp=9.765625e-04, f=5.101113e+00, gnorm=4.389852e+01
Iteration 1: alp=1.953125e-03, f=5.047011e+00, gnorm=4.546014e+01
Iteration 2: alp=9.765625e-04, f=4.114039e+00, gnorm=3.278977e+00
Iteration 3: alp=1.953125e-03, f=4.108085e+00, gnorm=3.350914e+00
Iteration 4: alp=1.953125e-03, f=4.102153e+00, gnorm=3.412960e+00
Iteration 5: alp=1.953125e-03, f=4.096128e+00, gnorm=3.465561e+00
Iteration 6: alp=1.953125e-03, f=4.090125e+00, gnorm=3.506376e+00
Iteration 7: alp=1.953125e-03, f=4.084011e+00, gnorm=3.535751e+00
Iteration 8: alp=1.953125e-03, f=4.077918e+00, gnorm=3.552267e+00
Iteration 9: alp=1.953125e-03, f=4.071704e+00, gnorm=3.556104e+00
Iteration 10: alp=1.953125e-03, f=4.065512e+00, gnorm=3.546935e+00
Iteration 11: alp=1.953125e-03, f=4.059197e+00, gnorm=3.524745e+00
Iteration 12: alp=1.953125e-03, f=4.052905e+00, gnorm=3.490355e+00
Iteration 13: alp=1.953125e-03, f=4.046498e+00, gnorm=3.443559e+00
Iteration 14: alp=1.953125e-03, f=4.040116e+00, gnorm=3.386256e+00
Iteration 15: alp=1.953125e-03, f=4.033636e+00, gnorm=3.318090e+00
Iteration 16: alp=1.953125e-03, f=4.027182e+00, gnorm=3.241852e+00
Iteration 17: alp=1.953125e-03, f=4.020652e+00, gnorm=3.157105e+00
Iteration 18: alp=1.953125e-03, f=4.014151e+00, gnorm=3.067242e+00
Iteration 19: alp=1.953125e-03, f=4.007596e+00, gnorm=2.971827e+00
Iteration 20: alp=1.953125e-03, f=4.001072e+00, gnorm=2.874517e+00
Iteration 21: alp=1.953125e-03, f=3.994516e+00, gnorm=2.774923e+00
Iteration 22: alp=1.953125e-03, f=3.987990e+00, gnorm=2.676624e+00
Iteration 23: alp=1.953125e-03, f=3.981451e+00, gnorm=2.579283e+00
Iteration 24: alp=3.906250e-03, f=3.981245e+00, gnorm=5.548353e+00
Iteration 25: alp=1.953125e-03, f=3.972546e+00, gnorm=5.139674e+00
Iteration 26: alp=1.953125e-03, f=3.964449e+00, gnorm=4.754849e+00
Iteration 27: alp=1.953125e-03, f=3.956291e+00, gnorm=4.381081e+00
Iteration 28: alp=1.953125e-03, f=3.948572e+00, gnorm=4.035881e+00
Iteration 29: alp=1.953125e-03, f=3.940899e+00, gnorm=3.709503e+00
Iteration 30: alp=5.000000e-01, f=2.276574e+00, gnorm=6.047464e+01
Iteration 31: alp=1.953125e-03, f=9.399630e-01, gnorm=4.228007e+01
Iteration 32: alp=1.953125e-03, f=6.199585e-01, gnorm=3.226073e+01
Iteration 33: alp=1.953125e-03, f=2.986107e-01, gnorm=2.334406e+01
Iteration 34: alp=1.953125e-03, f=1.844266e-01, gnorm=1.764807e+01
Iteration 35: alp=1.953125e-03, f=9.690415e-02, gnorm=1.295694e+01
Iteration 36: alp=1.953125e-03, f=5.884253e-02, gnorm=9.738501e+00
Iteration 37: alp=1.953125e-03, f=3.358514e-02, gnorm=7.201796e+00
Iteration 38: alp=1.953125e-03, f=2.132680e-02, gnorm=5.394991e+00
Iteration 39: alp=1.953125e-03, f=1.380675e-02, gnorm=4.005638e+00
Iteration 40: alp=1.953125e-03, f=9.925995e-03, gnorm=2.995690e+00
Iteration 41: alp=1.953125e-03, f=7.643577e-03, gnorm=2.229693e+00
Iteration 42: alp=1.953125e-03, f=6.422325e-03, gnorm=1.666600e+00
Iteration 43: alp=1.953125e-03, f=5.718279e-03, gnorm=1.242817e+00
Iteration 44: alp=1.953125e-03, f=5.331611e-03, gnorm=9.294409e-01
Iteration 45: alp=1.953125e-03, f=5.108979e-03, gnorm=6.947594e-01
Iteration 46: alp=1.953125e-03, f=4.982774e-03, gnorm=5.208722e-01
Iteration 47: alp=1.953125e-03, f=4.908095e-03, gnorm=3.913235e-01
Iteration 48: alp=1.953125e-03, f=4.863009e-03, gnorm=2.956496e-01
Iteration 49: alp=1.953125e-03, f=4.834045e-03, gnorm=2.251222e-01
Iteration 50: alp=1.953125e-03, f=4.814227e-03, gnorm=1.738070e-01
Iteration 51: alp=1.953125e-03, f=4.799452e-03, gnorm=1.369856e-01
Iteration 52: alp=1.953125e-03, f=4.787524e-03, gnorm=1.112410e-01
Iteration 53: alp=1.953125e-03, f=4.777182e-03, gnorm=9.379737e-02
Iteration 54: alp=3.906250e-03, f=4.773762e-03, gnorm=1.802068e-01
Iteration 55: alp=1.953125e-03, f=4.758519e-03, gnorm=1.415998e-01
Iteration 56: alp=1.953125e-03, f=4.746356e-03, gnorm=1.144419e-01
Iteration 57: alp=1.953125e-03, f=4.735910e-03, gnorm=9.589753e-02
Iteration 58: alp=3.906250e-03, f=4.733939e-03, gnorm=1.876297e-01
Iteration 59: alp=1.953125e-03, f=4.718118e-03, gnorm=1.469793e-01
Iteration 60: alp=1.953125e-03, f=4.705656e-03, gnorm=1.182070e-01
Iteration 61: alp=1.953125e-03, f=4.695069e-03, gnorm=9.840293e-02
Iteration 62: alp=3.906250e-03, f=4.694807e-03, gnorm=1.961961e-01
Iteration 63: alp=1.953125e-03, f=4.678274e-03, gnorm=1.532196e-01
Iteration 64: alp=1.953125e-03, f=4.665436e-03, gnorm=1.226127e-01
Iteration 65: alp=1.953125e-03, f=4.654665e-03, gnorm=1.013738e-01
Iteration 66: alp=1.953125e-03, f=4.645070e-03, gnorm=8.715736e-02
Iteration 67: alp=3.906250e-03, f=4.639027e-03, gnorm=1.604672e-01
Iteration 68: alp=1.953125e-03, f=4.625719e-03, gnorm=1.277726e-01
Iteration 69: alp=1.953125e-03, f=4.614709e-03, gnorm=1.048976e-01
Iteration 70: alp=1.953125e-03, f=4.605007e-03, gnorm=8.943440e-02
Iteration 71: alp=3.906250e-03, f=4.600417e-03, gnorm=1.688258e-01
Iteration 72: alp=1.953125e-03, f=4.586527e-03, gnorm=1.337716e-01
Iteration 73: alp=1.953125e-03, f=4.575211e-03, gnorm=1.090443e-01
Iteration 74: alp=1.953125e-03, f=4.565366e-03, gnorm=9.216023e-02
Iteration 75: alp=3.906250e-03, f=4.562502e-03, gnorm=1.784476e-01
Iteration 76: alp=1.953125e-03, f=4.547892e-03, gnorm=1.407309e-01
Iteration 77: alp=1.953125e-03, f=4.536190e-03, gnorm=1.139105e-01
Iteration 78: alp=1.953125e-03, f=4.526154e-03, gnorm=9.541112e-02
Iteration 79: alp=3.906250e-03, f=4.525355e-03, gnorm=1.895099e-01
Iteration 80: alp=1.953125e-03, f=4.509855e-03, gnorm=1.487909e-01
Iteration 81: alp=1.953125e-03, f=4.497668e-03, gnorm=1.196083e-01
Iteration 82: alp=1.953125e-03, f=4.487384e-03, gnorm=9.927624e-02
Iteration 83: alp=1.953125e-03, f=4.478179e-03, gnorm=8.556736e-02
Iteration 84: alp=3.906250e-03, f=4.472448e-03, gnorm=1.579971e-01
Iteration 85: alp=1.953125e-03, f=4.459662e-03, gnorm=1.261839e-01
Iteration 86: alp=1.953125e-03, f=4.449062e-03, gnorm=1.038016e-01
Iteration 87: alp=1.953125e-03, f=4.439705e-03, gnorm=8.853039e-02
Iteration 88: alp=3.906250e-03, f=4.435756e-03, gnorm=1.686291e-01
Iteration 89: alp=1.953125e-03, f=4.422220e-03, gnorm=1.338508e-01
Iteration 90: alp=1.953125e-03, f=4.411218e-03, gnorm=1.091503e-01
Iteration 91: alp=1.953125e-03, f=4.401656e-03, gnorm=9.209653e-02
Iteration 92: alp=3.906250e-03, f=4.399871e-03, gnorm=1.809008e-01
Iteration 93: alp=1.953125e-03, f=4.385395e-03, gnorm=1.427791e-01
Iteration 94: alp=1.953125e-03, f=4.373879e-03, gnorm=1.154590e-01
Iteration 95: alp=1.953125e-03, f=4.364049e-03, gnorm=9.637533e-02
Iteration 96: alp=1.953125e-03, f=4.355193e-03, gnorm=8.349840e-02
Iteration 97: alp=3.906250e-03, f=4.349257e-03, gnorm=1.531967e-01
Iteration 98: alp=1.953125e-03, f=4.337087e-03, gnorm=1.229081e-01
Iteration 99: alp=1.953125e-03, f=4.326904e-03, gnorm=1.015099e-01
Iteration 100: alp=1.953125e-03, f=4.317874e-03, gnorm=8.687621e-02
Iteration 101: alp=3.906250e-03, f=4.313894e-03, gnorm=1.653165e-01
Iteration 102: alp=1.953125e-03, f=4.300891e-03, gnorm=1.316699e-01
Iteration 103: alp=1.953125e-03, f=4.290251e-03, gnorm=1.076412e-01
Iteration 104: alp=1.953125e-03, f=4.280984e-03, gnorm=9.098940e-02
Iteration 105: alp=3.906250e-03, f=4.279426e-03, gnorm=1.794115e-01
Iteration 106: alp=1.953125e-03, f=4.265361e-03, gnorm=1.419619e-01
Iteration 107: alp=1.953125e-03, f=4.254129e-03, gnorm=1.149451e-01
Iteration 108: alp=1.953125e-03, f=4.244547e-03, gnorm=9.598030e-02
Iteration 109: alp=1.953125e-03, f=4.235915e-03, gnorm=8.307893e-02
Iteration 110: alp=3.906250e-03, f=4.230568e-03, gnorm=1.539287e-01
Iteration 111: alp=1.953125e-03, f=4.218578e-03, gnorm=1.235473e-01
Iteration 112: alp=1.953125e-03, f=4.208582e-03, gnorm=1.019601e-01
Iteration 113: alp=1.953125e-03, f=4.199736e-03, gnorm=8.705728e-02
Iteration 114: alp=3.906250e-03, f=4.196647e-03, gnorm=1.679445e-01
Iteration 115: alp=1.953125e-03, f=4.183676e-03, gnorm=1.337394e-01
Iteration 116: alp=1.953125e-03, f=4.173138e-03, gnorm=1.091583e-01
Iteration 117: alp=1.953125e-03, f=4.164001e-03, gnorm=9.194406e-02
Iteration 118: alp=3.906250e-03, f=4.163758e-03, gnorm=1.843514e-01
Iteration 119: alp=1.953125e-03, f=4.149518e-03, gnorm=1.457940e-01
Iteration 120: alp=1.953125e-03, f=4.138267e-03, gnorm=1.177964e-01
Iteration 121: alp=1.953125e-03, f=4.128738e-03, gnorm=9.792015e-02
Iteration 122: alp=1.953125e-03, f=4.120221e-03, gnorm=8.424867e-02
Iteration 123: alp=3.906250e-03, f=4.116237e-03, gnorm=1.600678e-01
Iteration 124: alp=1.953125e-03, f=4.104047e-03, gnorm=1.281590e-01
Iteration 125: alp=1.953125e-03, f=4.093994e-03, gnorm=1.052159e-01
Iteration 126: alp=1.953125e-03, f=4.085195e-03, gnorm=8.918810e-02
Iteration 127: alp=3.906250e-03, f=4.084006e-03, gnorm=1.769215e-01
Iteration 128: alp=1.953125e-03, f=4.070581e-03, gnorm=1.405372e-01
Iteration 129: alp=1.953125e-03, f=4.059826e-03, gnorm=1.140705e-01
Iteration 130: alp=1.953125e-03, f=4.050643e-03, gnorm=9.530660e-02
Iteration 131: alp=1.953125e-03, f=4.042376e-03, gnorm=8.239116e-02
Iteration 132: alp=3.906250e-03, f=4.037989e-03, gnorm=1.551825e-01
Iteration 133: alp=1.953125e-03, f=4.026305e-03, gnorm=1.246969e-01
Iteration 134: alp=1.953125e-03, f=4.016603e-03, gnorm=1.027885e-01
Iteration 135: alp=1.953125e-03, f=4.008056e-03, gnorm=8.745609e-02
Iteration 136: alp=3.906250e-03, f=4.006474e-03, gnorm=1.725932e-01
Iteration 137: alp=1.953125e-03, f=3.993551e-03, gnorm=1.374879e-01
Iteration 138: alp=1.953125e-03, f=3.983148e-03, gnorm=1.119489e-01
Iteration 139: alp=1.953125e-03, f=3.974210e-03, gnorm=9.379160e-02
Iteration 140: alp=1.953125e-03, f=3.966142e-03, gnorm=8.128024e-02
Iteration 141: alp=3.906250e-03, f=3.961725e-03, gnorm=1.528731e-01
Iteration 142: alp=1.953125e-03, f=3.950370e-03, gnorm=1.231347e-01
Iteration 143: alp=1.953125e-03, f=3.940895e-03, gnorm=1.016821e-01
Iteration 144: alp=1.953125e-03, f=3.932534e-03, gnorm=8.663991e-02
Iteration 145: alp=3.906250e-03, f=3.931042e-03, gnorm=1.713147e-01
Iteration 146: alp=1.953125e-03, f=3.918400e-03, gnorm=1.367201e-01
Iteration 147: alp=1.953125e-03, f=3.908184e-03, gnorm=1.114370e-01
Iteration 148: alp=1.953125e-03, f=3.899412e-03, gnorm=9.341557e-02
Iteration 149: alp=1.953125e-03, f=3.891487e-03, gnorm=8.093234e-02
Iteration 150: alp=3.906250e-03, f=3.887399e-03, gnorm=1.530578e-01
Iteration 151: alp=1.953125e-03, f=3.876175e-03, gnorm=1.233527e-01
Iteration 152: alp=1.953125e-03, f=3.866830e-03, gnorm=1.018623e-01
Iteration 153: alp=1.953125e-03, f=3.858590e-03, gnorm=8.670277e-02
Iteration 154: alp=3.906250e-03, f=3.857630e-03, gnorm=1.727580e-01
Iteration 155: alp=1.953125e-03, f=3.845023e-03, gnorm=1.379142e-01
Iteration 156: alp=1.953125e-03, f=3.834884e-03, gnorm=1.123735e-01
Iteration 157: alp=1.953125e-03, f=3.826194e-03, gnorm=9.404864e-02
Iteration 158: alp=1.953125e-03, f=3.818371e-03, gnorm=8.128505e-02
Iteration 159: alp=3.906250e-03, f=3.814948e-03, gnorm=1.556722e-01
Iteration 160: alp=1.953125e-03, f=3.803703e-03, gnorm=1.253961e-01
Iteration 161: alp=1.953125e-03, f=3.794376e-03, gnorm=1.033391e-01
Iteration 162: alp=1.953125e-03, f=3.786198e-03, gnorm=8.768771e-02
Iteration 163: alp=1.953125e-03, f=3.778701e-03, gnorm=7.690228e-02
Iteration 164: alp=3.906250e-03, f=3.773452e-03, gnorm=1.413340e-01
Iteration 165: alp=1.953125e-03, f=3.763234e-03, gnorm=1.149174e-01
Iteration 166: alp=1.953125e-03, f=3.754549e-03, gnorm=9.585190e-02
Iteration 167: alp=1.953125e-03, f=3.746772e-03, gnorm=8.244772e-02
Iteration 168: alp=3.906250e-03, f=3.744401e-03, gnorm=1.608426e-01
Iteration 169: alp=1.953125e-03, f=3.732930e-03, gnorm=1.293112e-01
Iteration 170: alp=1.953125e-03, f=3.723521e-03, gnorm=1.062113e-01
Iteration 171: alp=1.953125e-03, f=3.715333e-03, gnorm=8.966185e-02
Iteration 172: alp=1.953125e-03, f=3.707880e-03, gnorm=7.815358e-02
Iteration 173: alp=3.906250e-03, f=3.703691e-03, gnorm=1.471290e-01
Iteration 174: alp=1.953125e-03, f=3.693250e-03, gnorm=1.192651e-01
Iteration 175: alp=1.953125e-03, f=3.684465e-03, gnorm=9.896068e-02
Iteration 176: alp=1.953125e-03, f=3.676677e-03, gnorm=8.455290e-02
Iteration 177: alp=3.906250e-03, f=3.675846e-03, gnorm=1.690656e-01
Iteration 178: alp=1.953125e-03, f=3.663935e-03, gnorm=1.355789e-01
Iteration 179: alp=1.953125e-03, f=3.654287e-03, gnorm=1.108159e-01
Iteration 180: alp=1.953125e-03, f=3.646005e-03, gnorm=9.291563e-02
Iteration 181: alp=1.953125e-03, f=3.638539e-03, gnorm=8.030918e-02
Iteration 182: alp=3.906250e-03, f=3.635846e-03, gnorm=1.557379e-01
Iteration 183: alp=1.953125e-03, f=3.624961e-03, gnorm=1.257156e-01
Iteration 184: alp=1.953125e-03, f=3.615961e-03, gnorm=1.036600e-01
Iteration 185: alp=1.953125e-03, f=3.608083e-03, gnorm=8.781102e-02
Iteration 186: alp=1.953125e-03, f=3.600886e-03, gnorm=7.675004e-02
Iteration 187: alp=3.906250e-03, f=3.596754e-03, gnorm=1.444051e-01
Iteration 188: alp=1.953125e-03, f=3.586704e-03, gnorm=1.173950e-01
Iteration 189: alp=1.953125e-03, f=3.578214e-03, gnorm=9.763300e-02
Iteration 190: alp=1.953125e-03, f=3.570671e-03, gnorm=8.354344e-02
